,device_category,year_2000,year_2001,year_2002,year_2003,year_2004,year_2005,year_2006,year_2007,year_2008
0,aquatic play,6.0,3.0,2.0,6.0,3.0,5.0,2.0,3.0,1.0
1,cars & track rides,11.0,24.0,11.0,5.0,6.0,10.0,5.0,4.0,2.0
2,coaster,25.0,35.0,29.0,14.0,35.0,20.0,16.0,8.0,
3,float attraction,4.0,2.0,2.0,2.0,5.0,2.0,2.0,,
4,go-kart,17.0,27.0,13.0,12.0,10.0,6.0,11.0,6.0,
5,inflatable,2.0,1.0,2.0,,,2.0,3.0,4.0,
6,other attraction,11.0,8.0,1.0,9.0,2.0,5.0,1.0,2.0,1.0
7,pendulum,6.0,1.0,2.0,3.0,2.0,2.0,2.0,3.0,
8,play equipment,5.0,5.0,7.0,1.0,2.0,,1.0,,
9,spinning,21.0,27.0,30.0,7.0,18.0,16.0,16.0,14.0,4.0
10,unknown,1.0,,,1.0,,,,4.0,
11,vertical drop,1.0,5.0,2.0,1.0,1.0,0.0,0.0,,1.0
12,water ride,12.0,12.0,22.0,114.0,5.0,10.0,6.0,7.0,1.0
13,water slide,28.0,38.0,34.0,28.0,26.0,22.0,14.0,22.0,1.0
14,alpine activity,,1.0,,,2.0,,,,
15,challenge activity,,2.0,,1.0,,1.0,2.0,,
16,wave device,,3.0,2.0,2.0,,3.0,3.0,2.0,1.0
17,trampoline,,,1.0,1.0,1.0,,,,
