,acc_id,acc_date,acc_state,acc_city,fix_port,source,bus_type,industry_sector,device_category,device_type,tradename_or_generic,manufacturer,num_injured,age_youngest,gender,acc_desc,injury_desc,report,category,mechanical,op_error,employee,notes,year,Address
1986,918339,2006-06-12,CA,Chula Vista,F,California Division of Occupational Safety and Health,Water park,water park,water slide,Family raft slide,family raft,WhiteWater West Industries Ltd.,1,12.0,F,Child got off raft and complained of back pain. She stated she did not hit anything or anyone.,back pain,0,Body pain (normal motion),False,False,False,0,2006,"Chula Vista, CA"
5913,920274,2003-06-13,CA,Clovis,F,California Division of Occupational Safety and Health,Water park,water park,water slide,Speed slide,speed slide,0,1,0.0,U,Unknown,Unknown,0,Unknown (not enough info),False,False,False,0,2003,"Clovis, CA"
345,916530,2007-09-08,TX,0,F,Texas Dept. of Insurance,Amusement park,amusement ride,coaster,Coaster - steel,steel sitdown coaster,Schwarzkopf  Rides,1,14.0,M,Laceration,"At exit, guest was running and grabbed top of fence, cutting his hand",0,Injured in queue or exit,False,False,False,0,2007,"0, TX"
7638,910279,2002-06-19,IL,0,P,Illinois Department of Labor,Carnival or rental,recreation,play equipment,Slide,dry slide,0,1,9.0,U,"Patron jumped onto ride and slid, which caused patron to injure ankle.  Treated at scene and released.  No further information received on condition",Possible injury to ankle,0,Impact: hit something in participatory attraction,False,False,False,0,2002,"0, IL"
5790,911785,2003-06-28,NC,Charlotte,U,North Carolina Dept. of Labor,Unknown,amusement ride,coaster,Coaster - unidentified,unidentified coaster,0,1,7.0,U,Child hit stomach on lap bar when ride jerked.,Stomach injury,0,Impact: hit something within ride vehicle,False,False,False,0,2003,"Charlotte, NC"
249,916997,2007-11-04,FL,0,F,Florida Dept. of Agriculture,Family entertainment center,recreation,go-kart,Go-kart,go kart,0,1,13.0,M,Thirteen year old male received a cut to knee after being hit from behind by another kart causing him to lose control and hit guard rail.,0,0,Collision: patron-controlled vehicles,False,False,False,PATRON-IMPROPER OPS,2007,"0, FL"
3674,917597,2005-03-30,CA,Anaheim,F,California Division of Occupational Safety and Health,Amusement park,amusement ride,cars & track rides,Train/tram,train,In-house,1,71.0,F,Guest fell backwards while stepping off the Steam Train.,0,0,Load/Unload: scrape or stumble,False,False,False,0,2005,"Anaheim, CA"
7147,909593,2002-07-18,TX,ARLINGTON,F,Texas Dept. of Insurance,Amusement park,amusement ride,coaster,Coaster - steel,steel sitdown coaster,Schwarzkopf  Rides,1,43.0,F,Jostled by ride,Strain,0,Body pain (normal motion),False,False,False,0,2002,"ARLINGTON, TX"
4581,914072,2004-06-26,NJ,Jackson,F,New Jersey Dept. of Community Affairs,Water park,water park,water slide,Water slide - undefined,waterslide,Pro Slide,1,17.0,F,Patient was within raft with 4 other guests. One ofothe other guests let go of the holding straps and fell onto the patient. The guest was approx. 280 lb. Gemale.,0,0,Collision: patrons collided (participatory),False,False,False,Rider Hit by Others,2004,"Jackson, NJ"
6562,910292,2002-08-31,IL,0,P,Illinois Department of Labor,Carnival or rental,amusement ride,spinning,Himalaya-type,Himalaya,0,1,14.0,U,Husband states that the child was just injured as she was riding the ride.  Transported to hospital.  No further information received on condition,Broken ribs and punctured lung,0,Unknown (not enough info),False,False,False,0,2002,"0, IL"
9269,906970,2001-07-17,NJ,0,F,New Jersey Dept. of Community Affairs,Amusement park,amusement ride,coaster,Coaster - steel,Custom looping coaster,Arrow Dynamics,1,13.0,U,Patron felt right side neck discomfort after exiting the ride.,Neck Pain,0,Body pain (normal motion),False,False,False,Inadvertent Rider Mishap,2001,"0, NJ"
11550,905860,2000-07-02,NJ,0,F,New Jersey Dept. of Community Affairs,Amusement park,amusement ride,coaster,Coaster - steel,Custom looping coaster,Arrow Dynamics,1,27.0,M,Guest stated he struck his head on the harness as train went around bend.,Head pain after ride,0,Impact: hit something within ride vehicle,False,False,False,Inadvertent Rider Mishap,2000,"0, NJ"
10230,907508,2001-05-04,NJ,0,F,New Jersey Dept. of Community Affairs,Amusement park,amusement ride,coaster,Coaster - steel,Mine Train,Arrow Dynamics,1,51.0,M,Patron stated after exiting ride complained of neck discomfort.,Neck pain,0,Body pain (normal motion),False,False,False,Inadvertent Rider Mishap,2001,"0, NJ"
4410,914101,2004-07-11,NJ,Piscataway,F,New Jersey Dept. of Community Affairs,Family entertainment center,recreation,go-kart,Go-kart,go kart,Pacer,1,18.0,F,Her go kart was hit by another patron.,0,0,Collision: patron-controlled vehicles,False,False,False,Rider Hit by Others,2004,"Piscataway, NJ"
7781,910470,2002-06-09,NJ,N. Wildwood,F,New Jersey Dept. of Community Affairs,Amusement park,amusement ride,coaster,Coaster - steel,RC48,Pinfari,1,15.0,F,Guest states that prior to ride the operator closed restraining bar down onto her arm.,Contusion,0,Load/Unload: hit or pinched by restraint,False,False,False,0,2002,"N. Wildwood, NJ"
